_id,title,slogan,description,stars,img_url,price,category
11,MongoDB The Definitive Guide,2nd Edition,"Manage the huMONGOus amount of data collected through your web application with MongoDB. This authoritative introduction—written by a core contributor to the project—shows you the many advantages of using document-oriented databases, and demonstrates how this reliable, high-performance system allows for almost infinite horizontal scalability.",0,/img/products/guide-book.jpg,20,Books
12,Leaf Sticker,Add to your sticker collection,"Waterproof vinyl, will last 18 months outdoors.  Ideal for smooth flat surfaces like laptops, journals, windows etc.  Easy to remove.  50% discounts on all orders of any 6+",0,/img/products/leaf-sticker.jpg,1,Stickers
13,USB Stick (Green),1GB of space,MongoDB's Turbo USB 3.0 features lightning fast transfer speeds of up to 10X faster than standard MongoDB USB 2.0 drives. This ultra-fast USB allows for fast transfer of larger files such as movies and videos.,0,/img/products/greenusb.jpg,20,Electronics
14,USB Stick (Leaf),1GB of space,MongoDB's Turbo USB 3.0 features lightning fast transfer speeds of up to 10X faster than standard MongoDB USB 2.0 drives. This ultra-fast USB allows for fast transfer of larger files such as movies and videos.,0,/img/products/leaf-usb.jpg,20,Electronics
15,Scaling MongoDB,2nd Edition,"Create a MongoDB cluster that will grow to meet the needs of your application. With this short and concise book, you'll get guidelines for setting up and using clusters to store a large volume of data, and learn how to access the data efficiently. In the process, you'll understand how to make your application work with a distributed database system.",0,/img/products/scaling-book.jpg,29,Books
16,Powered by MongoDB Sticker,Add to your sticker collection,"Waterproof vinyl, will last 18 months outdoors.  Ideal for smooth flat surfaces like laptops, journals, windows etc.  Easy to remove.  50% discounts on all orders of any 6+",0,/img/products/sticker.jpg,1,Stickers
17,MongoDB Umbrella (Brown),Premium Umbrella,Our crook handle stick umbrella opens automatically with the push of a button. A traditional umbrella with classic appeal.,0,/img/products/umbrella-brown.jpg,21,Umbrellas
18,MongoDB Umbrella (Gray),Premium Umbrella,Our crook handle stick umbrella opens automatically with the push of a button. A traditional umbrella with classic appeal.,0,/img/products/umbrella.jpg,21,Umbrellas
19,MongoDB University Book,A concise summary of MongoDB commands,Keep the MongoDB commands you'll need at your fingertips with this concise book.,0,/img/products/univ-book.jpg,4,Books
20,MongoDB University T-shirt,Show Your MDBU Alumni Status,"Crafted from ultra-soft combed cotton, this essential t-shirt features sporty contrast tipping and MongoDB's signature leaf.",0,/img/products/univ-tshirt.jpg,45,Apparel
21,USB Stick,5GB of space,MongoDB's Turbo USB 3.0 features lightning fast transfer speeds of up to 10X faster than standard MongoDB USB 2.0 drives. This ultra-fast USB allows for fast transfer of larger files such as movies and videos.,0,/img/products/leaf-usb.jpg,40,Electronics
22,Water Bottle,Glass water bottle,"High quality glass bottle provides a healthier way to drink.  Silicone sleeve provides a good grip, a see-through window, and protects the glass vessel.  Eliminates toxic leaching that plastic can cause.  Innovative design holds 22-1/2 ounces.  Dishwasher safe",0,/img/products/water-bottle.jpg,23,Kitchen
23,WiredTiger T-shirt,Unleash the tiger,"Crafted from ultra-soft combed cotton, this essential t-shirt features sporty contrast tipping and MongoDB's signature leaf.",0,/img/products/wt-shirt.jpg,22,Apparel
